9117,Marsiella,69,990472
27513,Zondra,64,433848
48479,Barbi,58,654654
51891,Kaia,39,930278
88778,Marsiella,28,1.17012e+06
102818,Marti,43,278520
162567,Josephine,29,697081
164725,Jolyn,45,862190
202675,Eolanda,49,998618
253754,Rochette,38,1.27007e+06
263842,Roslyn,43,1.39483e+06
283745,Marti,33,502330
338163,Clo,54,803059
398470,Lita,41,390910
400566,Eugine,26,58107
406381,Katuscha,62,294803
423977,Kathy,31,143722
449355,Felice,49,969043
486853,Aubrie,30,956691
525868,Allis,70,1.13963e+06
559600,Nadine,62,1.05095e+06
643903,Lizzie,37,451979
649351,Yvonne,35,1.00272e+06
653474,Mady,59,562517
679405,Jennica,35,676538
679744,Jennica,35,608630
680641,Meg,46,214084
716859,Aubrie,40,225247
725650,Dotty,48,1.27148e+06
736165,Katharina,25,693662
765432,Valli,24,660864
778867,Loree,68,376164
780895,Averyl,41,803024
781180,Claresta,26,651378
783465,Carree,60,686134
783773,Belva,47,1.20282e+06
804520,Emylee,58,1.07592e+06
806470,Eadie,53,550918
814644,Dotty,26,189260
837934,Susette,28,875703
108591,Lila,23,164532
151315,Ira,60,868202
170661,Dulce,63,119060
181570,Vinita,35,1.24475e+06
214243,Sherrie,63,557227
224045,Kayla,66,1.30766e+06
233891,Genevra,72,1.02512e+06
270392,Fina,43,939405
276850,Deedee,63,472688
285847,Brietta,31,825252
285907,Linzy,24,282955
304875,Sheelagh,55,1.14594e+06
355211,Cassandra,66,1.32643e+06
404028,Corina,31,618593
551953,Meghann,37,982271
602699,Carol-Jean,63,974991
664728,Merci,43,974276
706098,Rosene,53,1.12048e+06
775695,Ilse,53,284989
828512,Neila,32,49183
889481,Tobe,42,463236
899718,Brandise,69,534917
45182,Sharai,70,623909
124103,Kenna,57,1.00615e+06
167134,Ebonee,46,1.11594e+06
188156,Leia,62,890655
209124,Meriel,42,1.32461e+06
333254,Nonnah,37,611250
346103,Roxane,69,79905
357214,Dania,34,1.1339e+06
388818,Cassondra,44,444360
407580,Charlena,55,525630
423003,Adriana,44,411090
424158,Esmeralda,19,477858
427296,Marylou,46,325492
465152,Meg,26,1.07157e+06
548924,Brietta,67,144037
621552,Joy,30,901692
625671,Cissiee,46,519557
741954,Jan,24,83873
794689,Marguerite,20,714230
805865,Petronia,34,653634
870680,Tobe,33,477280
898494,Orsola,67,561422
79015,Frieda,31,1.36325e+06
152441,Lory,46,316392
229287,Ermengarde,71,925177
275919,Heddie,55,795215
345840,Consuela,52,246961
359534,Briney,37,189317
380424,Joleen,35,954371
404647,Florencia,43,1.21823e+06
430805,Fanny,60,1.05823e+06
434062,Shel,70,663548
449941,Berget,24,1.01033e+06
470675,Shauna,35,273089
482038,Alameda,48,1.24071e+06
562028,Tierney,19,714715
566986,Marita,28,274399
620628,Sindee,56,617738
646712,Catharine,58,1.16825e+06
737543,Lizzie,52,785380
762558,Sean,70,650009
899503,Annecorinne,55,172101
951439,Amii,25,1.25689e+06
984795,Kathy,24,910813
44293,Shannah,23,711138
106553,Lizzie,49,281525
118442,Gloria,61,742571
120527,Marline,39,870077
125614,Cissiee,71,139348
193077,Vevay,31,809122
199930,Raquela,33,420379
205260,Robbi,42,1.23423e+06
221111,Wynne,22,639363
259068,Margalo,31,1.14873e+06
332397,Alisha,43,298193
361200,Caressa,64,202165
369200,Hyacinthe,20,46985
